Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039050,12/31/2021 18:51,-78.93806341,36.00346491,4,4,,4,4,,29,33,34,34,34,0.57,0,25.5,36,0
81432039053,12/31/2021 18:51,-78.93799635,36.00350901,4,5,,5,5,,32,38,38,38,38,0.46,0,28.3,48,0
81432039053,12/31/2021 18:36,-78.93799635,36.00350901,4,5,,5,5,,34,39,40,40,40,0.47,0,26.1,53,0
81432039050,12/31/2021 18:36,-78.93806341,36.00346491,4,4,,4,4,,29,33,33,33,33,0.57,0,25.5,36,0
81432039053,12/31/2021 18:21,-78.93799635,36.00350901,5,5,,5,5,,35,40,40,40,40,0.46,0,27.0,52,0
81432039050,12/31/2021 18:21,-78.93806341,36.00346491,4,4,,4,4,,30,35,35,35,35,0.58,0,25.6,36,0
81432039050,12/31/2021 18:06,-78.93806341,36.00346491,4,4,,4,4,,31,36,36,36,36,0.56,0,25.6,36,0
81432039053,12/31/2021 18:06,-78.93799635,36.00350901,5,5,,5,5,,39,45,45,45,45,0.46,0,25.8,58,0
81432039050,12/31/2021 17:51,-78.93806341,36.00346491,4,4,,4,4,,32,37,37,37,37,0.57,0,25.5,36,0
81432039053,12/31/2021 17:51,-78.93799635,36.00350901,5,5,,5,5,,40,46,46,46,47,0.47,0,23.7,63,0
81432039050,12/31/2021 17:36,-78.93806341,36.00346491,4,4,,4,4,,32,37,37,37,37,0.57,0,25.5,36,0
81432039053,12/31/2021 17:36,-78.93799635,36.00350901,6,6,,6,6,,44,51,51,51,51,0.46,0,23.0,66,0
81432039053,12/31/2021 17:21,-78.93799635,36.00350901,6,6,,6,6,,44,51,52,52,52,0.47,0,23.0,65,0
81432039050,12/31/2021 17:21,-78.93806341,36.00346491,4,4,,4,4,,32,37,38,38,38,0.57,0,25.5,36,0
81432039050,12/31/2021 17:06,-78.93806341,36.00346491,4,4,,4,4,,32,38,38,38,38,0.58,0,25.5,36,0
81432039053,12/31/2021 17:06,-78.93799635,36.00350901,6,6,,6,6,,43,50,50,50,50,0.47,0,23.5,64,0
81432039053,12/31/2021 16:51,-78.93799635,36.00350901,6,6,,6,6,,47,55,55,55,55,0.47,0,23.2,66,0
81432039050,12/31/2021 16:51,-78.93806341,36.00346491,4,5,,5,5,,34,40,40,40,40,0.57,0,25.6,36,0
81432039050,12/31/2021 16:36,-78.93806341,36.00346491,5,5,,5,5,,35,41,41,41,41,0.57,0,25.5,36,0
81432039053,12/31/2021 16:36,-78.93799635,36.00350901,6,7,,7,7,,51,59,60,60,60,0.49,0,22.4,67,0
