Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039072,02/25/2022 02:22,-78.938232,36.001427,5,5,,5,5,,40,47,47,47,47,0.55,0,7.5,84,0
81432039074,02/25/2022 02:36,-78.93817,36.0036,5,5,,5,5,,42,49,50,50,50,0.58,0,7.3,84,0
81432039053,02/25/2022 02:37,-78.93799635,36.00350901,4,5,,5,5,,40,47,47,47,47,0.49,0,7.7,83,0
81432039050,02/25/2022 02:37,-78.93806341,36.00346491,1,1,,1,1,,9,10,10,10,10,0.46,0,25.2,34,0
81432039072,02/25/2022 02:37,-78.938232,36.001427,5,5,,5,5,,42,49,49,50,50,0.57,0,7.5,84,0
81432039074,02/25/2022 02:51,-78.93817,36.0036,5,5,,5,5,,41,48,49,49,49,0.57,0,7.3,85,0
81432039072,02/25/2022 02:52,-78.938232,36.001427,5,5,,5,5,,40,47,47,47,47,0.57,0,7.4,84,0
81432039050,02/25/2022 02:52,-78.93806341,36.00346491,1,1,,1,1,,9,11,11,11,11,0.47,0,25.2,35,0
81432039053,02/25/2022 02:52,-78.93799635,36.00350901,5,5,,5,5,,41,48,48,48,48,0.47,0,7.7,83,0
81432039074,02/25/2022 03:06,-78.93817,36.0036,4,5,,5,5,,39,46,46,46,46,0.58,0,7.2,84,0
81432039050,02/25/2022 03:07,-78.93806341,36.00346491,1,1,,1,1,,9,11,11,11,11,0.48,0,25.3,35,0
81432039072,02/25/2022 03:07,-78.938232,36.001427,4,5,,5,5,,38,44,45,45,45,0.56,0,7.4,84,0
81432039053,02/25/2022 03:07,-78.93799635,36.00350901,4,4,,4,4,,38,44,44,44,44,0.46,0,7.6,83,0
81432039074,02/25/2022 03:21,-78.93817,36.0036,4,5,,5,5,,39,45,46,46,46,0.6,0,7.2,84,0
81432039050,02/25/2022 03:22,-78.93806341,36.00346491,1,1,,1,1,,9,10,10,10,10,0.47,0,25.3,35,0
